BASKET_ID,words
27773974688,"['RTS SOUP: CHUNKY/HOMESTYLE ET', 'DAIRY CASE 100% PURE JUICE OTH', 'MAINSTREAM WHEAT/MULTIGRAIN BR', 'ALL FAMILY CEREAL', 'RTS SOUP: CHUNKY/HOMESTYLE ET', 'SFT DRNK 2 LITER BTL CARB INCL', 'BANANAS', 'RTS SOUP: CHUNKY/HOMESTYLE ET', 'DAIRY CASE 100% PURE JUICE - O']"
27798175253,"['LEAN', 'COUPONS/STORE & MFG', 'PEPPERS GREEN BELL', 'CAN DOG FOOD (SKIPPY/PEDIGREE/', 'SNACKS/APPETIZERS', 'HOT DOG BUNS']"
27870892426,"['CANDY BARS (SINGLES)(INCLUDING', 'FROZEN CAKES/ALL TYPES INCLUDI', 'CANDY BARS (SINGLES)(INCLUDING', 'CANDY BARS (SINGLES)(INCLUDING']"
27924979099,['GASOLINE-REG UNLEADED']
27936795269,"['DAIRY CASE 100% PURE JUICE - O', 'SANDWICH COOKIES', 'KIDS CEREAL', 'EGGS - MEDIUM', 'GRAPES RED', 'MAINSTREAM WHEAT/MULTIGRAIN BR', 'MARGARINE  STICK', 'FLUID MILK WHITE ONLY']"
27972653950,['GASOLINE-REG UNLEADED']
27997209917,['GASOLINE-REG UNLEADED']
28306162788,"['CANDY BARS (SINGLES)(INCLUDING', 'SNACK CRACKERS', 'SNACK CRACKERS', 'CREAM CHEESE', 'ONIONS OTHER', 'HAM', 'CANDY BARS (SINGLES)(INCLUDING', 'SOUR CREAMS', 'CANDY BARS (SINGLES)(INCLUDING']"
28307681476,"['SANDWICHES&HANDHELDS', 'ETHNIC HAIR CARE', 'SFT DRNK 2 LITER BTL CARB INCL', 'RICE CAKES', 'TORTILLA/NACHO CHIPS', 'CHERRIES RED', 'SANDWICHES&HANDHELDS', 'ETHNIC HAIR CARE', 'APPLE JUICE & CIDER (OVER 50%', 'BOTTLE DEPOSITS']"
28331329952,"['LEMONS', 'EGGS - X-LARGE', 'OFFALS', 'POTATOES RUSSET (BULK&BAG)', 'FLUID MILK WHITE ONLY', 'IWS SINGLE CHEESE', 'MAINSTREAM WHEAT/MULTIGRAIN BR', 'KIDS CEREAL', 'HAM', 'DAIRY CASE 100% PURE JUICE - O', 'AIR CARE - CONTINUOUS ACTION']"
28379219209,['SEAFOOD-FRZ-IQF RAW SHRIMP RW']
28391409565,"['ONIONS YELLOW (BULK&BAG)', 'TEA BAGS & BULK TEA', 'RICE - DRY BAG AND BOX', 'DAIRY CASE 100% PURE JUICE - O', 'REFRIGERATED BISCUITS REGULAR', 'LIQUID LAUNDRY DETERGENTS', 'PEPPERS GREEN BELL', 'FLUID MILK WHITE ONLY', 'MAINSTREAM', 'SPAGHETTI DRY', 'TUNA', 'STICKS/ENROBED', 'PLUMS', 'SKILLET DINNERS', 'PEPPERONI/SALAMI', 'RAZORS AND BLADES', 'SNACK CAKE - MULTI PACK', 'MAIN MEAL BREAD', 'LIQUID BLEACH', 'SOFT DRINK POWDER POUCHES', 'SOFT DRINK POWDER POUCHES', 'SHREDDED CHEESE', 'APPLE JUICE & CIDER (OVER 50%', 'SHREDDED CHEESE', 'SOFT DRINK POWDER POUCHES', 'MAINSTREAM']"
28536650605,"['SHREDDED CHEESE', 'CAN DOGFD GOURMET/SUPER PREM (', 'APPLE JUICE & CIDER (OVER 50%', 'MEXICAN TACO TOSTADO SHELLS', 'SEAFOOD-FRE-NON RW-ALL', 'SOUP CRACKERS (SALTINE/OYSTER)', 'MAINSTREAM WHEAT/MULTIGRAIN BR', 'SPRING WATER', 'BANANAS', 'IWS SINGLE CHEESE', 'POTATOES RUSSET (BULK&BAG)', 'FLUID MILK WHITE ONLY', 'ADULT CEREAL', 'MEXICAN SOFT TORTILLAS AND WRA', 'CUCUMBERS', 'BODY WASH', 'ROLLS - PORK', 'FRZN BAGGED VEGETABLES - PLAIN', 'DRY BEANS/PEAS/BARLEY: BAG & B', 'BUTTER SPRAY CRACKER (RITZ/CLU', 'SHREDDED CHEESE', 'PEPPERONI/SALAMI', 'RAWHIDE CHEWS', 'SEAFOOD-FRZ-RAW FILLETS', 'PAPER TOWELS & HOLDERS', 'HEAD LETTUCE', 'CAN DOGFD GOURMET/SUPER PREM (', 'FRZN BAGGED VEGETABLES - PLAIN', 'SEAFOOD-FRZ-RAW FILLETS', 'BODY WASH', 'LEMONS', 'CHEWING GUM', 'MARGARINE  STICK', 'MAINSTREAM WHITE BREAD', 'CHEWING GUM', 'ECONOMY - MEAT', 'TOMATOES VINE RIPE BULK', 'FRZN BAGGED VEGETABLES - PLAIN', 'KIDS CEREAL', 'DAIRY CASE JUICE DRNK UNDER 10', 'TUNA', 'SOUR CREAMS', 'PEPPERS GREEN BELL', 'SKILLET DINNERS', 'LEAN']"
28537237248,['LEAN']
28537780970,"['SW GDS:DONUTS', 'PREMIUM', 'SOFT DRINKS 12/18&15PK CAN CAR', 'POTATOES SWEET&YAMS', 'FROZEN CAKES/ALL TYPES INCLUDI']"
28571723451,"['MUSIC-MAGAZINE', 'CREAM CHEESE', 'REFRIG DIPS', 'GRAVY CAN/GLASS', 'GRAPES RED', 'HAM', 'SPICES & SEASONINGS', 'TOMATOES VINE RIPE BULK', 'HEAD LETTUCE', 'SNACK CRACKERS', 'COOKING OIL: PEANUT SAFFLOWER', 'SEAFOOD-FRE-NON RW-ALL', 'ACNE MEDICATIONS', 'CANDY BARS (SINGLES)(INCLUDING', 'ONIONS OTHER', 'SPICES & SEASONINGS', 'SEAFOOD-MISC-BREADERS/BTR MIX']"
28638820686,['SANDWICH COOKIES']
28675170976,['GASOLINE-REG UNLEADED']
28675741069,"['NO SUBCOMMODITY DESCRIPTION', 'GASOLINE-REG UNLEADED']"
28732960166,"['SEMI-SOLID SALAD DRESSING MAY', 'DAIRY CASE 100% PURE JUICE - O', 'PAPER TOWELS & HOLDERS', 'SKILLET DINNERS', 'MAINSTREAM WHEAT/MULTIGRAIN BR', 'IWS SINGLE CHEESE', 'ENTREES', 'SPECIALTY COOKIES', 'FRZN MULTI SERVE ENTREES ALL', 'SPONGES: BATH HOUSEHOLD', 'MAINSTREAM WHITE BREAD', 'APPLE JUICE & CIDER (OVER 50%', 'SOUP CRACKERS (SALTINE/OYSTER)', 'TUNA', 'PEPPERONI/SALAMI', 'LIQUID DISH DETERGENT', 'SUGAR', 'RELISHES', 'KIDS CEREAL', 'SKILLET DINNERS', 'CABBAGE', 'POURABLE SALAD DRESSINGS', 'LEAN', 'FLUID MILK WHITE ONLY', 'SEASONED PORK', 'PREPAID WIRELESS CARDS', 'CUCUMBERS']"
28744896159,['GASOLINE-REG UNLEADED']
28744896164,['COUPONS/STORE & MFG']
28757424383,"['PREMIUM PINTS', 'CHEWING GUM', 'NEWSPAPER', 'DRY DOG VALUE (PET PRIDE/KLR/G', 'PREMIUM PINTS']"
28788438687,"['ALUMINUM FOIL', 'PASTA: CANNED', 'CHEESE CRACKERS (CHEEZ-ITS/GOL', 'PASTA: CANNED', 'LEMONS', 'FABRIC REFRESHERS/DRY CLEAN', 'FOOD STORAGE BAGS', 'DOG & CAT CHEMICALS', 'COLLARS AND LEADS', 'GRAPES RED', 'CHICKEN LEGS/QUARTERS', 'BANANAS']"
28919047759,"['HEAD LETTUCE', 'HAM', 'VARIETY LETTUCE', 'CUCUMBERS', 'FRZN BURGERS/BBQ/MEATBALL', 'SOFT DRINK POWDER POUCHES', 'SOFT DRINK POWDER POUCHES', 'SNACK CAKE - MULTI PACK', ' ', 'DAIRY CASE JUICE DRNK UNDER 10', 'TOILET TISSUE', 'MAINSTREAM WHITE BREAD', 'FLUID MILK WHITE ONLY', 'SOFT DRINK POWDER POUCHES', 'DAIRY CASE 100% PURE JUICE OTH', 'HOT DOG BUNS']"
28919047803,['GASOLINE-REG UNLEADED']
28940919173,"['MUSIC-MAGAZINE', 'MUSIC-MAGAZINE', 'AIR CARE - AEROSOLS']"
28940920352,"['KIDS CEREAL', 'STANDARD OATMEAL', 'BEERALEMALT LIQUORS', 'FRZN MULTI SERVE ENTREES ALL']"
28941581403,"['POTATOES RUSSET (BULK&BAG)', 'TABLE SALT POPCORN SALTICE C', 'NOODLE SIDE DISH MIXES', 'EGGS - MEDIUM', 'IWS SINGLE CHEESE', 'PREPARED BEANS - BAKED W/PORK', 'RICE SIDE DISH MIXES DRY', 'NOODLE SIDE DISH MIXES', 'BREAST - BONELESS(IQF)', 'RICE SIDE DISH MIXES DRY', 'CHOICE BEEF', 'SOFT DRINKS 12/18&15PK CAN CAR', 'SPICES & SEASONINGS', 'SOFT DRINKS 6PK/4PK CAN CARB (', 'STUFFED/MIXED PORK']"
